framework,metric,n,mean,stdev,variance,min,max,cv_percent
rest,end_to_end_startup_ms,2,1415.757000,0.416000,0.173056,1415.341000,1416.173000,0.029
rest,latency_avg_ms,2,37.151100,0.018200,0.000331,37.132900,37.169300,0.049
rest,latency_p95_ms,2,41.717500,0.051300,0.002632,41.666200,41.768800,0.123
rest,server_ready_ms,2,2.193000,0.118000,0.013924,2.075000,2.311000,5.381
rest,throughput_bytes_per_sec,2,416.000000,0.000000,0.000000,416.000000,416.000000,0.000
webrtc,end_to_end_startup_ms,2,1068.330500,1.508500,2.275572,1066.822000,1069.839000,0.141
webrtc,latency_avg_ms,2,1.162755,0.015375,0.000236,1.147380,1.178130,1.322
webrtc,latency_p95_ms,2,1.408020,0.022050,0.000486,1.385970,1.430070,1.566
webrtc,server_ready_ms,2,8.795000,0.763000,0.582169,8.032000,9.558000,8.675
webrtc,setup_ms,2,1027.980000,0.870000,0.756900,1027.110000,1028.850000,0.085
webrtc,throughput_bytes_per_sec,2,54056.000000,2808.000000,7884864.000000,51248.000000,56864.000000,5.195
websocket,end_to_end_startup_ms,2,1016.007000,0.746000,0.556516,1015.261000,1016.753000,0.073
websocket,latency_avg_ms,2,0.059952,0.013958,0.000195,0.045994,0.073910,23.282
websocket,latency_p95_ms,2,0.106923,0.043692,0.001909,0.063231,0.150615,40.863
websocket,server_ready_ms,2,3.497500,0.735500,0.540960,2.762000,4.233000,21.029
websocket,throughput_bytes_per_sec,2,624112.000000,105616.000000,11154739456.000000,518496.000000,729728.000000,16.923
